Pop	Sample	bufo	spino	missing
16	mean	0	1	0
16	mean	0	1	0
17	mean	0	1	0
17	mean	0	1	0
17	mean	0	1	0
17	mean	0	1	0
17	mean	0	1	0
17	mean	0	1	0
17	mean	0	1	0
17	mean	0	1	0
18	mean	0	1	0
18	mean	0	1	0
18	mean	0	1	0
18	mean	0	1	0
18	mean	0	1	0
18	mean	0	1	0
18	mean	0	1	0
18	mean	0	1	0
18	mean	0	1	0
18	mean	0	1	0
19	mean	0	1	0
19	mean	0	1	0
19	mean	0	1	0
19	mean	0	1	0
19	mean	0	1	0
19	mean	0	1	0
19	mean	0	1	0
19	mean	0	1	0
20	mean	0	1	0
20	mean	0	1	0
20	mean	0	1	0
20	mean	0	1	0
20	mean	0	1	0
20	mean	0	1	0
20	mean	0	1	0
20	mean	0	1	0
21	mean	0	1	0
21	mean	0	1	0
21	mean	0	1	0
21	mean	0	1	0
21	mean	0	1	0
21	mean	0	1	0
21	mean	0	1	0
21	mean	0	1	0
21	mean	0	1	0
21	mean	0	1	0
22	mean	0	1	0
22	mean	0	1	0
22	mean	0	1	0
22	mean	0	1	0
22	mean	0	1	0
22	mean	0	1	0
22	mean	0	1	0
22	mean	0	1	0
22	mean	0	1	0
22	mean	0	1	0
22	mean	0	1	0
22	mean	0	1	0
22	mean	0	1	0
22	mean	0	1	0
22	mean	0	1	0
22	mean	0	1	0
22	mean	0	1	0
22	mean	0	1	1
23-29	mean	0	1	0
23-29	mean	0	1	0
23-29	mean	0	1	0
23-29	mean	0	1	0
23-29	mean	0	1	0
23-29	mean	0	1	0
23-29	mean	0	1	0
23-29	mean	0	1	0
23-29	mean	0	1	0
23-29	mean	0	1	0
23-29	mean	0	1	0
23-29	mean	0	1	0
